,_id,DLY_QTY,DLY_GAIN,DLY_AWD_QTY,DLY_AWD_GAIN,TYPE,DATE,HOUR
4583,"{'DATE': '20190224', 'HOUR': 24.0, 'TYPE': 'BID'}",314.596,0.0,314.596,14817.471599999999,BID,20190224,24.0
4584,"{'DATE': '20190222', 'HOUR': 7.0, 'TYPE': 'BID'}",560.595,0.0,560.595,35317.485,BID,20190222,7.0
4585,"{'DATE': '20190311', 'HOUR': 8.0, 'TYPE': 'OFF'}",1396.998,28282.0,1396.998,78231.888,OFF,20190311,8.0
4586,"{'DATE': '20190301', 'HOUR': 6.0, 'TYPE': 'BID'}",608.521,0.0,608.521,28965.5996,BID,20190301,6.0
4587,"{'DATE': '20191208', 'HOUR': 10.0, 'TYPE': 'BID'}",360.641,0.0,360.641,15907.87451,BID,20191208,10.0
4588,"{'DATE': '20190120', 'HOUR': 8.0, 'TYPE': 'OFF'}",759.377,42.0,759.377,47035.81138,OFF,20190120,8.0
4589,"{'DATE': '20181207', 'HOUR': 20.0, 'TYPE': 'BID'}",913.166,0.0,913.166,68697.47818,BID,20181207,20.0
4590,"{'DATE': '20191125', 'HOUR': 4.0, 'TYPE': 'BID'}",156.105,0.0,156.105,5526.116999999999,BID,20191125,4.0
4591,"{'DATE': '20190301', 'HOUR': 4.0, 'TYPE': 'BID'}",568.046,0.0,568.046,25073.550440000003,BID,20190301,4.0
4592,"{'DATE': '20190301', 'HOUR': 2.0, 'TYPE': 'BID'}",580.485,0.0,580.485,26760.358500000002,BID,20190301,2.0
4593,"{'DATE': '20190819', 'HOUR': 12.0, 'TYPE': 'BID'}",470.252,0.0,470.252,18292.8028,BID,20190819,12.0
4594,"{'DATE': '20190213', 'HOUR': 23.0, 'TYPE': 'OFF'}",753.469,19836.14,753.469,40423.61185,OFF,20190213,23.0
4595,"{'DATE': '20190304', 'HOUR': 14.0, 'TYPE': 'OFF'}",1324.026,22254.629999999997,1324.026,63261.96228,OFF,20190304,14.0
4596,"{'DATE': '20181218', 'HOUR': 19.0, 'TYPE': 'OFF'}",718.312,7148.0,718.312,58513.695519999994,OFF,20181218,19.0
4597,"{'DATE': '20190402', 'HOUR': 15.0, 'TYPE': 'BID'}",619.98,0.0,619.98,31742.976000000002,BID,20190402,15.0
4598,"{'DATE': '20190213', 'HOUR': 21.0, 'TYPE': 'OFF'}",1375.069,18067.41,1375.069,85996.81526,OFF,20190213,21.0
4599,"{'DATE': '20190213', 'HOUR': 18.0, 'TYPE': 'OFF'}",1268.769,23409.92,1268.769,85007.523,OFF,20190213,18.0
4600,"{'DATE': '20190120', 'HOUR': 11.0, 'TYPE': 'OFF'}",769.5649999999999,59.0,769.5649999999999,51022.159499999994,OFF,20190120,11.0
4601,"{'DATE': '20181229', 'HOUR': 7.0, 'TYPE': 'BID'}",601.664,0.0,601.664,31467.0272,BID,20181229,7.0
4602,"{'DATE': '20190213', 'HOUR': 9.0, 'TYPE': 'OFF'}",1283.969,16923.2,1283.969,86025.923,OFF,20190213,9.0
4603,"{'DATE': '20190304', 'HOUR': 10.0, 'TYPE': 'BID'}",682.0120000000001,0.0,682.0120000000001,37640.24228,BID,20190304,10.0
4604,"{'DATE': '20190213', 'HOUR': 8.0, 'TYPE': 'OFF'}",1375.269,14723.2,1375.269,84166.46280000001,OFF,20190213,8.0
4605,"{'DATE': '20190314', 'HOUR': 24.0, 'TYPE': 'BID'}",397.91999999999996,0.0,397.91999999999996,20262.0864,BID,20190314,24.0
4606,"{'DATE': '20190213', 'HOUR': 7.0, 'TYPE': 'OFF'}",804.969,440.0,804.969,44764.32609,OFF,20190213,7.0
4607,"{'DATE': '20190517', 'HOUR': 2.0, 'TYPE': 'BID'}",476.12199999999996,0.0,476.12199999999996,24515.52178,BID,20190517,2.0
4608,"{'DATE': '20190213', 'HOUR': 5.0, 'TYPE': 'OFF'}",311.669,40.0,311.669,12426.8,OFF,20190213,5.0
4609,"{'DATE': '20191113', 'HOUR': 7.0, 'TYPE': 'OFF'}",495.28499999999997,44.0,495.28499999999997,24536.418899999997,OFF,20191113,7.0
4610,"{'DATE': '20190213', 'HOUR': 1.0, 'TYPE': 'OFF'}",749.069,19964.74,749.069,35206.243,OFF,20190213,1.0
4611,"{'DATE': '20190620', 'HOUR': 11.0, 'TYPE': 'BID'}",716.485,0.0,716.485,42580.703550000006,BID,20190620,11.0
4612,"{'DATE': '20190213', 'HOUR': 18.0, 'TYPE': 'BID'}",614.6189999999999,0.0,614.6189999999999,41179.473,BID,20190213,18.0
4613,"{'DATE': '20190521', 'HOUR': 1.0, 'TYPE': 'OFF'}",775.135,13392.0,775.135,32981.994249999996,OFF,20190521,1.0
4614,"{'DATE': '20190815', 'HOUR': 3.0, 'TYPE': 'BID'}",321.362,0.0,321.362,12986.23842,BID,20190815,3.0
4615,"{'DATE': '20190213', 'HOUR': 17.0, 'TYPE': 'BID'}",608.255,0.0,608.255,35284.87255,BID,20190213,17.0
4616,"{'DATE': '20190127', 'HOUR': 7.0, 'TYPE': 'OFF'}",780.061,41.0,780.061,48028.35577,OFF,20190127,7.0
4617,"{'DATE': '20190205', 'HOUR': 24.0, 'TYPE': 'BID'}",515.1700000000001,0.0,515.1700000000001,26314.8836,BID,20190205,24.0
4618,"{'DATE': '20190213', 'HOUR': 16.0, 'TYPE': 'BID'}",616.3919999999999,0.0,616.3919999999999,33445.429919999995,BID,20190213,16.0
