,gen3,prof3
0,20,417.62885152101074
1,363,69534.79782409794
2,248,62379.18017241322
3,321,79621.69809875899
4,20,232.49676734704713
5,306,66753.47878048303
6,468,89089.02531023513
7,20,297.21394216350865
8,190,42996.04486910938
9,289,65872.5042979434
10,26,545.1924240827169
11,20,379.62537047011534
12,202,61291.09239410592
13,152,42747.31541598868
14,279,59942.33900818616
15,287,62294.99760891521
16,339,71490.98367540562
17,179,44964.83917689672
18,20,519.1650738030494
19,223,61423.65705856238
20,20,473.9405574351125
21,239,55380.97679858985
22,185,60691.91529289163
23,100,27968.389853432505
24,205,57389.01412457022
25,262,56015.847751884896
26,245,52048.19086920639
27,222,55351.21104114403
28,290,77070.28444762362
29,20,494.66304604923465
30,20,365.59240147811465
31,20,397.01012705223644
32,449,92712.5648360604
33,154,35908.716836209045
34,165,43740.7933825869
35,20,349.97596800046165
36,106,18470.535864599988
37,293,57582.467312393266
38,506,97898.76123404811
39,340,72452.24800899689
40,36,837.2011617557627
41,360,69842.29990770118
42,434,79216.28799371625
43,346,76459.34494328857
44,164,37074.782631085705
45,235,51309.730759941194
46,335,74273.02183874701
47,20,134.59507777850294
48,158,37562.96616103273
49,20,309.0265904862434
50,159,45490.352523459034
51,20,477.9251870034832
52,339,73966.49625974352
53,608,116160.38066956197
54,20,459.1589505304356
55,167,45190.06898014124
56,20,413.67257026783653
57,331,73781.15841829829
58,210,58345.44170736998
59,173,42631.42571584541
60,233,44752.58569234734
61,210,41191.87425489973
62,40,293.5544292222821
63,291,63726.39881422845
64,20,426.41166017499603
65,20,180.86936645750737
66,193,56732.19867948132
67,370,81190.48247712411
68,20,390.96742600282425
69,20,232.9486134222141
70,225,46526.70554929465
71,178,41812.31239462983
72,20,307.2667407817705
73,20,363.66876877217027
74,20,462.94405472931123
75,384,69573.13855335332
76,115,28477.456328176857
77,129,36674.05886393494
78,67,25638.967878536616
79,20,341.58472686411926
80,387,73034.18913894445
81,157,38631.965409483324
82,309,54055.66821230705
83,20,380.2080768943939
84,126,28817.014470561262
85,218,47179.12784931345
86,24,659.8086554623102
87,261,66863.99319460333
88,20,461.24899177307765
89,263,66128.18583494505
90,20,357.2177005536075
91,20,262.4002296776557
92,38,621.5186526569595
93,20,414.4019124340388
94,552,121008.90349529912
95,199,44436.43466207802
96,208,56300.50930970045
97,339,51424.64393265635
98,216,42670.00279320418
99,20,360.3689362366156
100,198,40447.84332577384
101,20,450.7259600537118
102,297,51855.0383049526
103,56,749.534519887322
104,20,368.6101554951534
105,350,73610.94322883977
106,566,90218.28559729761
107,233,49663.48125643766
108,35,734.4961794625947
109,20,280.3142164671634
110,224,49837.23996838555
111,20,146.78054779578355
112,20,401.2876807960531
113,20,457.7651368608303
114,353,74264.95189321629
115,53,575.7609624491294
116,188,33798.33921893299
117,183,56325.61788397445
118,140,31799.662361222734
119,626,102393.1196021586
120,369,69325.60292997956
121,150,42803.956039294964
122,20,323.39805546552856
123,236,50929.59479376456
124,331,70668.71036478288
125,20,197.78319173804329
126,455,94788.73986739379
127,32,498.7855278255045
128,284,71403.55275885134
129,159,43441.50334648087
130,199,41677.89288175976
131,137,37065.95978895469
132,20,340.76523116300683
133,39,960.0639210762574
134,39,649.9337125921354
135,197,44380.98119311395
136,20,356.26756153437793
137,20,366.1261123481871
138,432,98504.08228709862
139,234,54439.83472012007
140,27,629.6621639842454
141,305,62861.756489518746
142,20,396.2718827190211
143,255,60400.95791379713
144,182,43314.71213131369
145,281,52962.83880970825
146,452,88782.1268317455
147,20,474.78578540555077
148,20,493.4540774326121
149,20,384.0532019526484
150,20,373.14662854685633
151,34,819.3226217455216
152,347,68133.52283494375
153,455,81727.16118283605
154,355,84727.79230491746
155,278,66213.76841024187
156,252,49195.32723976788
157,214,46668.75176821676
158,20,320.30990737758316
159,30,518.0603594783902
160,406,93942.38827834048
161,20,466.1639754642984
162,261,66105.25633359914
163,455,83478.70555884995
164,381,78994.7203156828
165,249,58114.561258549824
166,20,487.3696068746441
167,313,68835.40401135673
168,20,443.62384355193745
169,273,59978.2441029581
170,150,43176.83661407421
171,20,403.0884148789032
172,240,65343.82986113723
173,223,51430.64684446528
174,20,468.60849623408706
175,191,54621.05652897335
176,193,59221.44374593138
177,367,74874.68609883936
178,20,510.5070212898289
179,557,143739.30227086207
180,20,330.8414503404481
181,152,47911.24420218938
182,119,35101.317571301246
183,212,43849.494739045535
184,242,52392.897205656525
185,170,42692.8661470927
186,29,563.3275815291651
187,323,69779.48720322586
188,20,431.8928987185808
189,20,391.61969572680226
190,20,440.0806719610115
191,40,774.4602868184343
192,192,40173.288732847555
193,386,83193.90621122146
194,121,24248.22147449566
195,20,335.16174810141564
196,182,43767.75861131275
197,371,84058.43408038541
198,451,77808.33646415017
199,20,445.32302306750813
200,20,126.38963168751344
201,20,410.9813455873668
202,20,413.48750750687935
203,144,30777.35359547327
204,200,45410.04978788007
205,292,63617.806228645444
206,20,444.06796656510517
207,264,47167.4165871213
