generator,number,operator,zone,max_quantity,min_quantity
UP_NPWRBRNDSI_4,284,['Bilateralista'],['SUD'],30,2
UP_TRSANCIREO_1,285,['ERG POWER GENERATION S.P.A.'],['SUD'],52195,2
UP_ALISEA_1,286,"['ENERGY.DIS S.R.L.', 'SHELL ENERGY EUROPE LIMITED']",['CSUD'],83224,7
UP_TROINAGRTT_1,287,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['SICI'],89273,0
UP_TROIA2_2,288,['AXPO ITALIA SPA'],['SUD'],47317,5
UP_TRMVLRZZTR_4,289,"['EGO TRADE SRL', 'DUFENERGY TRADING SA', 'DXT COMMODITIES SA', 'EGO TRADE SPA']",['NORD'],83406,62
UP_TRMVLRZZTR_3,290,"['Bilateralista', 'GSE SPA', 'A2A SPA']",['CSUD'],252,42
UP_TRMCCLLFRR_1,291,['TERMICA COLLEFERRO SPA'],['CSUD'],107.5,8
UP_DI0088_NORD_C,292,['ITALGEN S.P.A.'],['NORD'],19076,1
UP_SSTSNGVNN2_1,293,['EDISON SPA'],['NORD'],275724,1
UP_TRETORRI_1,294,['GSE SPA'],['BRNN'],59059,7
UP_DI0526_CSUD_B,295,['HERA TRADING S.R.L.'],['CSUD'],808,1
UP_ALFONSINE2_2,296,"['EDISON SPA', 'DOLOMITI ENERGIA TRADING SPA']",['NORD'],53647,1
UP_TRDVLLEMCI_3,297,['ACEA ENERGIA SPA'],['CSUD'],43.8,1
UP_PONTE_FEL_1,298,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CSUD'],35022,3.9
UPV_HELDOEGTIPER,299,['GEN-I TRGOVANJE IN PRODAJA ELEKTRICNE ENERGIJE D.O.O.'],['GREC'],1896,1
UP_TRAVALE_4_2,300,['ENEL PRODUZIONE S.P.A.'],['CNOR'],54.4,17
UP_TRAVALE_3_1,301,['ENEL PRODUZIONE S.P.A.'],['CNOR'],24,8.3
UP_TRAPANI_C_2,302,['EP PRODUZIONE SPA'],['SICI'],1060,2
UP_TRAPANI_C_1,303,['EP PRODUZIONE SPA'],['SICI'],950,0.01
UPV_SWGROEETSNLO,304,['Bilateralista'],['SVIZ'],54,37
UP_TORVISCOSA_1,305,"['Bilateralista', 'EDISON SPA']",['NORD'],5214472,1
UP_CNTRLDTVRL_1,306,"['REPOWER ITALIA SPA', 'HERA TRADING S.R.L.']",['CSUD'],1633482,460
UP_MONTALTO_1,307,['ENEL PRODUZIONE S.P.A.'],['CSUD'],630,0
UP_TORREVALN_4,308,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CSUD'],2575.1,0
UP_DI1170_NORD_C,309,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['NORD'],639538,18646
UP_TORREVALN_3,310,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CSUD'],2794888,0
UP_TORRENT_1,311,"['C.V.A. TRADING S.R.L. A S.U.', 'Bilateralista']",['NORD'],24573,279
UP_TIRSO1S_1,312,['ENEL PRODUZIONE S.P.A.'],['SARD'],28,4
UPV_HELDOEPPCSBR,313,['PUBLIC POWER CORPORATION S.A.'],['GREC'],100,1
UP_DI0228_SUD_C,314,['DOLOMITI ENERGIA TRADING SPA'],['SUD'],10.74,1
UP_TEVERE_1,315,"['Bilateralista', 'ERG POWER GENERATION S.P.A.']",['CNOR'],735,0.1
UP_TERNI_1,316,['EDISON SPA'],['CNOR'],763912,1
UP_TERMOUTIL_1,317,"['A2A SPA', 'Bilateralista']",['NORD'],171,15
UP_TERMINI_I_6,318,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SICI'],4206,0
UP_TERMINI_I_5,319,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SICI'],232,0
UP_CBTRVNNCT1_1,320,"['Bilateralista', 'ALPIQ ENERGIA ITALIA S.p.A.']",['NORD'],45604,9
UP_TERMINI_I_42,321,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SICI'],330.1,0
UP_TENERGY_1,322,"['EN.E.R. TRADING S.p.A.', 'C.U.RA. CONSORZIO UTILITIES RAVENNA S.C.R.L.']",['NORD'],173626,6.9
UP_DI2428_SUD_C,323,['ERG POWER GENERATION S.P.A.'],['SUD'],10528,1
UP_TECNOBORGO_1,324,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],28.5,1394
UP_DI0156_NORD_B,325,"['Bilateralista', 'ALPIQ ENERGIA ITALIA S.p.A.']",['NORD'],156771,372
UPV_SWGMOEETSNLO,326,['Bilateralista'],['SVIZ'],96,2
UP_TAVAZZANO_5,327,"['Bilateralista', 'EP PRODUZIONE SPA']",['NORD'],8962494,0.01
UP_VIZZOLA_T_1,328,['ENEL PRODUZIONE S.P.A.'],['NORD'],59.06,6.5
UP_PORTOTORR_1,329,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],16.7,2.24
UP_TARIFA_1,330,"['DUFERCO ENERGIA S.p.A.', 'ENOI S.P.A.']",['SUD'],79943,1
UP_TALORO1_1,331,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SARD'],1872765,0
UP_TAGLIAMENTO_1,332,"['A2A SPA', 'Bilateralista']",['NORD'],1081.4,0.1
UP_SUVIANA_N_1,333,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],51579,13978
UP_LARINO_TG_1,334,['ENEL PRODUZIONE S.P.A.'],['SUD'],300,0
UP_SUSA_1,335,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],8.7,0.3
UP_SSNPLOAGHE_1,336,['ERG POWER GENERATION S.P.A.'],['SARD'],140553,31
UP_SULCIS_CE_3,337,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SARD'],752,0
UP_STORO_1,338,['DOLOMITI ENERGIA TRADING SPA'],['NORD'],55.5,2
UP_STANGA_1,339,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],57,1499
UP_SRRDLVNTSD_1,340,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],73206,1
UP_ELCE_3,341,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['SUD'],57.13,4
UP_DI0312_NORD_G,342,['GREEN NETWORK SPA'],['NORD'],5,1
UP_DI0062_CSUD_C,343,['AXPO ITALIA SPA'],['CSUD'],11.65,1
UP_SRRDLVNTNR_1,344,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],62174,1
UP_SRRDCRISTO_1,345,['DUFERCO ENERGIA S.p.A.'],['FOGN'],52.69,1
UP_PIEDIMULE_1,346,['ENEL PRODUZIONE S.P.A.'],['NORD'],14806,7401
UP_SPTROORZIO_1,347,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],21.3,0.03
UP_DI2061_NORD_A,348,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['NORD'],114224,2.58
UP_SPRTIVENTO_1,349,"['ENERGY.TRADE SRL', 'NEXT KRAFTWERKE GMBH']",['SUD'],40.5,4
UP_SPEZIA_CE_3,350,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],1955,0
UP_SFLORIANO_2,351,['ALPERIA ENERGY SRL'],['NORD'],708,0
UP_SPERANDO_2,352,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CNOR'],13999,0.5
UP_FUSINA_T_1,353,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],610,0
UP_DI2600_NORD_C,354,"[""GRUPPO SOCIETA' GAS RIMINI SPA""]",['NORD'],25,9
UP_SNTLBERTO2_1,355,['EDISON SPA'],['NORD'],59.9,1
UP_PIACENZA_4,356,"['A2A SPA', 'Bilateralista']",['NORD'],3982,0.1
UP_SOVERZENE_2,357,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],250,0
UP_SOVERZENE_1,358,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],750,0
UP_SNPTRVLLNA_1,359,['ENEL PRODUZIONE S.P.A.'],['SUD'],18218,3
UP_SNNRGYPRTN_1,360,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],101078,1
UP_SMRCRCHLCO_1,361,"['EGO TRADE SRL', 'EGO TRADE SPA']",['SUD'],63416,1
UP_SNMRTNNPNS_2,362,['TRAILSTONE GMBH'],['SUD'],585.39,0.01
UP_LCANIAWIND_1,363,['DXT COMMODITIES SA'],['SUD'],116988,15741
UP_SND_CAMPO_1,364,['EDISON SPA'],['NORD'],144,0
UP_BSLCEEDENS_1,365,['EDISON SPA'],['CSUD'],34585,1
UP_DI1902_NORD_C,366,['EN.E.R. TRADING S.p.A.'],['NORD'],5455,75
UP_SMRICRICHI_1,367,"['Bilateralista', 'EDISON SPA']",['ROSN'],7304721,0
UP_SMIALI_2,368,['GSE SPA'],['SARD'],28.8,6
UP_BARCA_CLE_1,369,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['SICI'],9201,202
UPV_SWGD110943O,370,['TRAILSTONE GMBH'],['SVIZ'],900,1
UP_SLLDICONZA_1,371,['EDISON SPA'],['CSUD'],36.94,1
UPV_SWGDOEINTRNO,372,['INTERENERGO D.O.O.'],['SVIZ'],600,1
UP_SIGNAYES_1,373,"['Bilateralista', 'C.V.A. TRADING S.R.L. A S.U.']",['NORD'],183,3
UP_SGHRANUOVA_1,374,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],206252,1
UP_DI1900_CSUD_G,375,['YOUTRADE SPA - IN LIQUIDAZIONE'],['CSUD'],134,34
UP_CALCINERE_1,376,"['EGO TRADE SRL', 'EGO TRADE SPA']",['NORD'],75,1
UP_SPARANISE_2,377,['AXPO ITALIA SPA'],['CSUD'],3044.4,220
UP_SFRNGNRZNE_2,378,['ENEL PRODUZIONE S.P.A.'],['NORD'],921933,0
UP_SESTA_1_1,379,['ENEL PRODUZIONE S.P.A.'],['CNOR'],22.2,8.1
UP_SERVOLA_2,380,"['EGO TRADE SRL', 'EGO TRADE SPA']",['NORD'],88382,1
UP_SERMIDE_4,381,"['Bilateralista', 'A2A SPA']",['NORD'],4016,0.1
UP_SERMIDE_3,382,"['Bilateralista', 'A2A SPA']",['NORD'],1959,0.1
UPV_SWGY106135O,383,['VATTENFALL ENERGY TRADING GMBH'],['SVIZ'],60,25
UP_SENDREN_1,384,"['C.V.A. TRADING S.R.L. A S.U.', 'Bilateralista']",['NORD'],17,14
UP_PIETRAPOR_1,385,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],13.8,0.3
UP_SCLSTRNLCL_1,386,"['4ENERGIA SRL', 'GNERA ENERGIA Y TECNOLOGIA']",['SUD'],184.9,6
UP_DI2603_CNOR_C,387,"['A2A SPA', 'Bilateralista']",['CNOR'],39704,1
UP_BLVNBMASSA_1,388,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.', 'DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['NORD'],142271,753
UP_DI1616_SICI_G,389,"['ENI SPA', 'Bilateralista']",['SICI'],1432,205
UP_SCLSTRIANO_1,390,['ERG POWER GENERATION S.P.A.'],['SUD'],150718,11
UP_DI2513_SUD_C,391,"['Bilateralista', '4ENERGIA SRL']",['SUD'],61618,2
UP_SCLDLICETO_1,392,['DANSKE COMMODITIES A.S'],['SUD'],197.45,19
UP_DI2575_CNOR_C,393,['ECO TRADE SRL'],['CNOR'],171115,52541
UP_SCALELLE_1,394,['Bilateralista'],['CSUD'],8238,184
UP_SBARBARA_3,395,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CNOR'],2180,0
UP_BRESSANON_1,396,['ENEL PRODUZIONE S.P.A.'],['NORD'],165056,11
UPV_SWGDOEEDLLCO,397,['AXPO TRADING AG'],['SVIZ'],1650,1
UP_SATRIANO_2,398,"['Bilateralista', 'A2A SPA']",['SUD'],86436,0.01
UP_SASSO2_1,399,['ENEL PRODUZIONE S.P.A.'],['CNOR'],31.4,13.5
UP_SANTANINFA_1,400,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SICI'],136259,51
UP_CET2_1,401,['GREEN NETWORK SPA'],['BRNN'],77.7,1
UP_SANNICOLA_1,402,"['ENI SPA', 'Bilateralista']",['SUD'],18,2
UP_SANNA012_1,403,"['AXPO ITALIA SPA', 'BP ENERGY EUROPE LIMITED']",['SUD'],138839,1
UP_POSCHIAVI_1,404,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],27.35,2
UP_SANMAURO_1,405,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],18.6,0.7
UP_DI2326_SUD_C,406,['METAENERGIA SPA'],['SUD'],1594,267
UP_SORIO_NUO_2,407,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],34347,6626
UPV_HELY113281R,408,['SENTRADE S.A.'],['GREC'],5,2
UP_SALSOMINO_1,409,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],24779,496
UP_SALISANO_2,410,['ACEA ENERGIA SPA'],['CSUD'],22.5,3.4
UP_FLUMENDOS_5,411,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SARD'],28492,2051
UPV_SWGDOEESDSNO,412,['EDISON SPA'],['SVIZ'],1409,1
UP_SALEMI_1,413,['ERG POWER GENERATION S.P.A.'],['SICI'],69286,24
UP_S.SILVEST_1,414,['DOLOMITI ENERGIA TRADING SPA'],['NORD'],55661,0.17
UP_BGNCHVASSO_1,415,['AZIENDA ELETTRICA TICINESE'],['NORD'],66,5
UP_VOBARNO_1,416,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],38966,8.15
UP_S.PANCRAZ_1,417,['ENEL PRODUZIONE S.P.A.'],['NORD'],136,0
UP_S.MASS.CL_1,418,['DOLOMITI ENERGIA TRADING SPA'],['NORD'],1048,0
UP_EDOLO_1,419,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],5438357,0
UP_LGNCHOZOLA_2,420,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],14998,1801
UP_DI1999_CSUD_C,421,['DUFERCO ENERGIA S.p.A.'],['CSUD'],33131,2
UP_S.LEONARD_1,422,['EDISON SPA'],['NORD'],45132,2688
UP_DI1999_NORD_C,423,['DUFERCO ENERGIA S.p.A.'],['NORD'],35644,76
UP_S.FOCA_1,424,['EDISON SPA'],['NORD'],28815,837
UP_S.ANTONIO_1,425,['EDELWEISS ENERGIA S.P.A.'],['NORD'],226.4,18
UP_S._ANGELO_1,426,['ACEA ENERGIA SPA'],['CSUD'],621,0
UP_S.F._DEL_2,427,['A2A ENERGIEFUTURE S.P.A.'],['SICI'],745,0.1
UP_RTNVLCSNTS_1,428,"['4ENERGIA SRL', 'TRAILSTONE GMBH']",['SUD'],244.14,0.01
UP_VADOTERM_5,429,['TIRRENO POWER S.P.A.'],['NORD'],3376314,126437
UP_RPACANDIDA_1,430,"['BKW ENERGIE AG', 'Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SUD'],48932,2
UP_MPNTDGNRZN_1,431,"['DXT COMMODITIES SA', 'DUFENERGY TRADING SA']",['NORD'],86466,9.5
UP_TOLVEPARCO_1,432,['DXT COMMODITIES SA'],['SUD'],44096,6088
UP_RPABOTTONI_1,433,['EDISON SPA'],['SUD'],50841,1
UPV_HELM109724R,434,['NRG TRADING HOUSE SA'],['GREC'],32,1
UP_ROTONDELLA_1,435,"['EGO TRADE SRL', 'EGO TRADE SPA']",['SUD'],42,1
UP_ROSSANO_T_3,436,['ENEL PRODUZIONE S.P.A.'],['ROSN'],330,0
UP_DI0182_NORD_A,437,['ENEL PRODUZIONE S.P.A.'],['NORD'],76943,1155
UP_SULCIS_CEN_2,438,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SARD'],1286,0
UP_ROSEN_1,439,"['Bilateralista', 'ENGIE ITALIA SPA']",['CNOR'],1020,10
UPV_HELD109724R,440,['NRG TRADING HOUSE SA'],['GREC'],374,1
UP_ROSELECTRA_1,441,"['Bilateralista', 'ENGIE ITALIA SPA']",['CNOR'],5028,463
UP_ROCCHETTA3_3,442,['DUFERCO ENERGIA S.p.A.'],['SUD'],64245,44
UP_ROCCAROSSA_1,443,"['ALPIQ SA', 'Bilateralista', 'ALPIQ AG']",['SICI'],227608,2
UP_S.FIORANO_1,444,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],2732451,0
UP_RNDCOSESTO_1,445,"['Bilateralista', 'FALCK RENEWABLES ENERGY SRL']",['SUD'],42.9,3
UP_RIZZICONI_2,446,['AXPO ITALIA SPA'],['ROSN'],2491.3,220
UP_PONT_1,447,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],29185,364
UP_RIORIVA_1,448,"['Bilateralista', 'ALPERIA ENERGY SRL']",['NORD'],20758,0.1
UP_RIO_PUSTE_1,449,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['NORD'],56413,866
UP_RESIO_1,450,"['A2A SPA', 'Bilateralista']",['NORD'],12.3,2
UP_DI2345_SUD_C,451,['ILLUMIA Spa'],['SUD'],10184,53
UP_RATINO_1,452,"['Bilateralista', 'ALPIQ ENERGIA ITALIA S.p.A.']",['FOGN'],3029,372
UP_RANCIA_2_1,453,['ENEL PRODUZIONE S.P.A.'],['CNOR'],33.6,6.4
UP_DI0182_CNOR_C,454,['ENEL PRODUZIONE S.P.A.'],['CNOR'],93489,3728
UP_QUINCINET_1,455,"['C.V.A. TRADING S.R.L. A S.U.', 'Bilateralista']",['NORD'],51,1.5
UP_PZZDLTSR16_1,456,"['AXPO ITALIA SPA', 'TRAILSTONE GMBH']",['SUD'],61.11,0.01
UP_PTRGLLLICO_1,457,['ENEL PRODUZIONE S.P.A.'],['SUD'],33969,35
UP_DI2182_CNOR_A,458,['ENOI S.P.A.'],['CNOR'],10,309
UP_PTRCATELLA_1,459,['ERG POWER GENERATION S.P.A.'],['SUD'],71.73,1
UP_PSCUSOEOLO_1,460,['ENEL PRODUZIONE S.P.A.'],['SARD'],172012,38
UP_DI2239_SUD_C,461,['FALCK RENEWABLES ENERGY SRL'],['SUD'],8.94,0.01
UP_PROVVIDEN_1,462,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CSUD'],687326,0
UP_PREMESA_M_1,463,['EDISON SPA'],['NORD'],15,1.6
UP_PRCVCCHVLL_1,464,"['BKW ENERGIE AG', 'Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SUD'],26971,1
UP_PNDLLCPR20_1,465,"['AXPO ITALIA SPA', 'TRAILSTONE GMBH']",['SUD'],135.98,0.01
UP_DI2252_CNOR_C,466,['EDLO ENERGY SRL'],['CNOR'],687,1
UP_PRCOEOLICO_1,467,['AXPO ITALIA SPA'],['SUD'],251832,108
UP_PRCLCTRRDR_1,468,"['EGO TRADE SRL', 'EGO TRADE SPA']",['SUD'],25047,1
UP_CNTRLGRGHN_1,469,"['EDISON SPA', 'ENEL PRODUZIONE S.P.A.']",['SARD'],193714,1
UP_PRCLCCMSDM_1,470,['DUFERCO ENERGIA S.p.A.'],['SUD'],46779,31
UP_PRCLCSRRPL_1,471,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],238001,391
UP_CGNRZNDRVL_1,472,"['EGO TRADE SRL', 'EGO TRADE SPA']",['NORD'],15696,0.61
UP_DI0062_CNOR_B,473,['AXPO ITALIA SPA'],['CNOR'],34214,155
UP_PRCLCRGLBT_1,474,"['DXT COMMODITIES SA', 'GSE SPA']",['SICI'],128103,32
UP_PRCLCRDINO_1,475,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['CSUD'],61866,2
UP_PRCLCPNDCR_1,476,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],192.15,247
UP_SNGVNNNGLD_2,477,"['Bilateralista', 'METAENERGIA SPA', 'ALPIQ AG']",['SUD'],53126,23
UP_PRCLCPGGLT_1,478,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['CNOR'],87436,0.01
UP_DI2570_CSUD_G,479,['NGC 6611 SRL'],['CSUD'],2,2
UP_PRCLCLCAMO_1,480,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SICI'],141607,65
UP_PRCLCDRCGL_1,481,"['EDISON SPA', 'ENEL PRODUZIONE S.P.A.']",['CSUD'],23263,1
UP_PRCLCDPLRM_1,482,"['DUFENERGY TRADING SA', 'DANSKE COMMODITIES A.S']",['SICI'],291.26,115
UP_SND_ALBAN_1,483,['EDISON SPA'],['NORD'],63.5,1
UP_PGNNI13830_1,484,"['EGO TRADE SRL', 'EGO TRADE SPA']",['CSUD'],19956,4
UP_PRCLCDMZRD_1,485,"['DUFENERGY TRADING SA', 'DANSKE COMMODITIES A.S']",['SICI'],478.4,147
UP_ST._CLAIR_1,486,"['C.V.A. TRADING S.R.L. A S.U.', 'Bilateralista']",['NORD'],42768,607
UP_DI1999_NORD_A,487,['DUFERCO ENERGIA S.p.A.'],['NORD'],101.38,71
UP_MATESE_2S_1,488,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CSUD'],26122,6728
UP_PRCLCCSTLN_1,489,"['Bilateralista', 'METAENERGIA SPA', 'ALPIQ AG']",['SUD'],47762,7
UP_PRCLCCCLLO_1,490,"['AXPO ITALIA SPA', 'BP ENERGY EUROPE LIMITED']",['CSUD'],77062,1
UP_CASSANO_2,491,"['A2A SPA', 'Bilateralista']",['NORD'],3888,0.1
UP_DI2055_SARD_G,492,"['EGO TRADE SRL', 'EGO TRADE SPA']",['SARD'],15182,1
UP_SNFLRCRFF2_1,493,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],89249,1
UP_PRCLCBSETO_3,494,"['EGO TRADE SRL', 'EGO TRADE SPA']",['SICI'],62481,1
UP_PRCLAROCCA_1,495,"['ERG POWER GENERATION S.P.A.', 'EDP RENEWABLES ITALIA HOLDING SRL']",['SUD'],36787,18
UPV_HELD114980R,496,['VEOS SPA'],['GREC'],62.04,0.01
UP_DI1625_NORD_C,497,"['BKW ENERGIE AG', 'Bilateralista']",['NORD'],14855,1.71
UP_PPNERGYSRL_1,498,['AXPO ITALIA SPA'],['SUD'],40.5,0.85
UP_PPLMBNTLNT_1,499,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],36,3
UP_DI2529_CSUD_C,500,['Bilateralista'],['CSUD'],9,1
UPV_SWGDOEETLDFO,501,['EDF TRADING LIMITED'],['SVIZ'],550,9
UP_PORTO_COR_4,502,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],1790,0
UP_PORTA_ROM_1,503,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CNOR'],18178,618
UP_DI1156_NORD_G,504,['EVIVA SPA'],['NORD'],2767.1,1228
UP_DI2044_CSUD_C,505,['ENGIE ITALIA SPA'],['CSUD'],7669,1
UP_PORCARI_1,506,['AXPO ITALIA SPA'],['CNOR'],278,5
UP_PONTE_MAL_1,507,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],11184,19
UP_PONTE_GIU_1,508,['EDISON SPA'],['NORD'],14,1
UP_POGGIBONSI_1,509,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['CNOR'],24585,1841
UP_PNTVENTOUX_3,510,['IREN ENERGIA SPA'],['NORD'],360,3
UP_ACQUORIA_1,511,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CSUD'],76,4
UP_PNTSTMRTIN_1,512,"['C.V.A. TRADING S.R.L. A S.U.', 'Bilateralista']",['NORD'],87541,107
UP_SAGITTA_2,513,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CSUD'],18018,3.99
UP_PNTRECOGEN_1,514,"['YOUTRADE SPA - IN LIQUIDAZIONE', 'ENEL PRODUZIONE S.P.A.', 'METAENERGIA SPA']",['CNOR'],41.72,37
UP_PLZZSNGRVS_1,515,['ERG POWER GENERATION S.P.A.'],['SUD'],83933,12
UP_PNSNBIAGIO_1,516,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],177098,1
UP_PNDLCRNALE_1,517,['ENEL PRODUZIONE S.P.A.'],['CSUD'],27974,4
UP_SUIO_1,518,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CSUD'],11239,1.17
UP_PIZZONE_1,519,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SUD'],55286,0
UP_SUSCIOFFU_1,520,['GSE SPA'],['SARD'],17.65,1
UP_PITAGORA_1,521,"['AXPO ITALIA SPA', 'BP ENERGY EUROPE LIMITED']",['SUD'],94529,1
UP_MNMLITELLO_1,522,['ERG POWER GENERATION S.P.A.'],['SICI'],66928,13
UP_DI0367_CNOR_G,523,['CRE SCPA CONSORZIO PER LE RISORSE ENERGETICHE SCPA'],['CNOR'],7.5,2
UP_PILANI_2,524,['DANSKE COMMODITIES A.S'],['CSUD'],119.57,0.02
UP_PIEVE_VER_1,525,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],79788,1
UP_PIETRAFIT_5,526,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CNOR'],1480,0
UP_PIANCASTA_8,527,['ENEL PRODUZIONE S.P.A.'],['CNOR'],40,17.8
UP_PIANCASTA_7,528,['ENEL PRODUZIONE S.P.A.'],['CNOR'],39.6,12.1
UP_PIANCASTA_6,529,['ENEL PRODUZIONE S.P.A.'],['CNOR'],40.6,17.8
UP_SRRCHPPONI_1,530,['ENEL PRODUZIONE S.P.A.'],['SUD'],16607,5
UP_PERRERES_1,531,['C.V.A. TRADING S.R.L. A S.U.'],['NORD'],105,30
UP_DI1825_CNOR_C,532,['EUROPE ENERGY S.P.A.'],['CNOR'],4861,0.25
UP_DI1999_CNOR_G,533,['DUFERCO ENERGIA S.p.A.'],['CNOR'],12291,0.02
UP_PEPIZZA_1,534,"['DUFENERGY TRADING SA', 'EDISON SPA']",['ROSN'],232593,14
UP_PCCNI13360_1,535,"['EGO TRADE SRL', 'EGO TRADE SPA']",['CSUD'],20724,1
UP_PCCHMNTDSS_1,536,['DUFERCO ENERGIA S.p.A.'],['CNOR'],17996,18
UP_TRRVLDLIGA_5,537,['TIRRENO POWER S.P.A.'],['CSUD'],3116.51,160
UP_PATERNOCLE_1,538,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['SICI'],17.8,56
UP_SUGARELLA_1,539,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['CSUD'],106009,1
UP_PARTINICO_1,540,['ERG POWER GENERATION S.P.A.'],['SICI'],44022,7
UP_PARONA_1,541,"['GSE SPA', 'A2A SPA']",['NORD'],65.7,1.5
UP_MONTORSI_1,542,['GSE SPA'],['SUD'],50443,3
UP_PARAVISO_1,543,"['BKW ENERGIE AG', 'Bilateralista']",['NORD'],28202,0.01
UP_DI2252_NORD_A,544,['EDLO ENERGY SRL'],['NORD'],2086,513
UP_LE_PIANE_1,545,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],15078,707
UP_PALINO20MW_1,546,"['AXPO ITALIA SPA', 'TRAILSTONE GMBH']",['SUD'],115.18,0.01
UP_PALAZZO_2_1,547,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SUD'],102528,15034
UP_CLHRCSLGNO_1,548,['HERA TRADING S.R.L.'],['NORD'],288558,0
UP_MPNTDTRMVL_2,549,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],160,10
UP_P.GARD.ME_1,550,['EDISON SPA'],['NORD'],56.95,0.94
UP_OZIERI_1,551,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['SARD'],12204,992
