,y,y_hat
0,[6640.652],6586.354610169492
1,[5773.073],5708.3194237288135
2,[5446.925],5431.392406779662
3,[5338.8],5333.671525423728
4,[8639.724],8621.41327118644
5,[9050.896],9020.745355932204
6,[5267.394],5172.876491525423
7,[3148.554],3018.1239491525425
8,[5248.109],5165.601305084745
9,[5288.746],5267.669728813559
10,[5080.786],5071.607525423729
11,[4829.128],4751.138423728814
12,[3591.307],3474.0154745762716
13,[3218.209],3089.4778983050855
14,[2189.148],2047.2559661016946
15,[3549.714],3434.788610169492
16,[3842.4],3797.994847457627
17,[4595.076],4582.006423728813
18,[4712.557],4628.4568644067795
19,[4071.484],3961.3300338983054
20,[4180.666],4072.3717288135604
21,[2638.201],2503.763254237288
22,[5307.969],5228.354843599184
23,[2481.903],2413.6079152542375
24,[3666.991],3638.222949152542
25,[4635.132],4549.719576271187
26,[4501.396],4398.528677966101
27,[4610.417],4471.698271186441
28,[2779.118],2502.610627118644
29,[349.205],135.00347457627126
30,[3507.884],3410.2835084745766
31,[3901.962],3841.668033898305
32,[3964.621],3820.6556610169496
33,[4189.84],4033.4935762711866
34,[4240.362],4088.0381016949145
35,[2532.698],2354.598322033898
36,[4866.025],4732.804152542373
37,[4631.501],4557.801762711864
38,[4594.971],4551.739135593221
39,[4633.553],4511.594135593221
40,[4232.185],4086.605457627119
41,[4042.265],3887.4393898305093
42,[2352.007],2175.016135593221
43,[4682.55],4554.072627118644
44,[4316.675],4247.651474576271
45,[4433.473],4393.684694915254
46,[4521.348],4404.8713728813555
47,[4223.995],4088.0587288135584
48,[4165.35],4023.1429176710444
49,[2552.11],2389.8305254237284
50,[4715.871],4602.462932110164
51,[4615.887],4554.395913239111
52,[4953.695],4914.220033898305
53,[5047.317],4948.773627118643
54,[4704.404],4579.210508474576
55,[4283.775],4146.166101694915
56,[2498.623],2331.600169491526
57,[4701.],4575.018016949151
58,[4749.742],4687.267830508473
59,[5196.376],5171.896745762712
60,[4773.583],4756.642491525426
61,[3429.194],3394.995169491526
62,[3684.945],3656.9135593220335
63,[3127.111],3033.676881355932
64,[5429.224],5367.839728813559
65,[5222.858],5222.103152542373
66,[5474.519],5513.942135466538
67,[5053.642],5050.345949152541
68,[4704.589],4694.688033898306
69,[4665.815],4658.781593220338
70,[4023.806],4010.1564745762707
71,[6625.913],6677.347
72,[6852.948],6914.553747701574
73,[7055.617],7138.099525423729
74,[6218.625],6263.860779661018
75,[6419.089],6462.761694915253
76,[6555.095],6588.315661016948
77,[4027.578],4015.9681864406784
78,[6638.444],6681.95179661017
79,[7590.903],7648.703627118643
80,[7476.95],7558.962692571515
81,[7660.299],7700.168999999998
82,[7508.126],7593.316220338983
83,[7284.414],7345.726254237289
84,[4489.965],4487.504542372881
85,[7114.781],7159.075667314139
86,[7047.864],7089.17666101695
87,[6740.58],6807.723423728814
88,[6600.737],6706.695169491523
89,[6240.858],6287.1795932203395
90,[8999.389],9085.786067796611
91,[7178.633],7233.107779661016
92,[10304.932],10408.577627118644
93,[10843.836],10955.759288135594
94,[10292.454],10423.975288135594
95,[10914.264],11016.77652542373
96,[11233.636],11345.536593220339
97,[10257.67],10353.647949152544
98,[8396.918],8460.703847457627
99,[11538.379],11662.21279661017
100,[11749.348],11879.976525423732
101,[12825.367],13002.881576271186
102,[11734.828],11854.35813559322
103,[12135.179],12267.696016949147
104,[10733.125],10839.898762711864
105,[8843.908],8917.17172881356
106,[11780.672],11908.751271186438
107,[12675.471],12819.710338861103
108,[13306.151],13488.422881355931
109,[12771.079],12907.60794915254
110,[12196.017],12324.493779661017
111,[10676.057],10773.046186440679
112,[8761.296],8824.24479661017
113,[11291.579],11403.226033898305
114,[11724.537],11850.651610169494
115,[12079.805],12242.197912178643
116,[12347.963],12477.57254237288
117,[11557.957],11673.350474576271
118,[9500.126],9573.070915254237
119,[8228.502],8287.059952831436
120,[10396.48],10514.569593220336
121,[10916.484],11039.05245762712
122,[11475.773],11617.275745762712
123,[12593.244],12714.668067796609
124,[11801.03],11912.524440677968
125,[9455.105],9522.572558588712
126,[6983.898],7016.61420338983
127,[8699.945],8767.662898305083
128,[8803.278],8873.404491525422
129,[9160.836],9247.904305084745
130,[8854.63],8892.404876369126
