,y,y_hat
0,10813.343999999997,9465.341796875
1,10560.778,9826.4072265625
2,10330.311999999998,9822.99609375
3,6462.304000000001,9427.80859375
4,5366.1810000000005,8179.7470703125
5,9674.465,7766.0224609375
6,10570.568000000001,8829.791015625
7,10570.028,9439.462890625
8,10570.028,9848.9130859375
9,10005.204999999998,9705.4384765625
10,6511.313000000002,9488.9296875
11,5364.3060000000005,8119.97021484375
12,9674.465,7629.583984375
13,10570.568000000001,8871.501953125
14,12794.822,9453.16015625
15,19093.052999999996,9756.384765625
16,12987.095,9694.4892578125
17,9266.313,9312.5693359375
18,7459.306,8093.4052734375
19,12458.576,7613.3564453125
20,13414.278999999999,8852.0927734375
21,13227.472000000003,9428.9619140625
22,13040.579000000003,10729.2978515625
23,12726.055,13896.7412109375
24,8979.756000000001,11462.9365234375
25,7145.650999999999,10251.8212890625
26,11829.125999999998,9259.19921875
27,12821.377999999997,11081.0322265625
28,13176.975999999999,12130.5859375
29,12794.468,12580.1025390625
30,12262.715000000002,11991.41015625
31,8389.063,11523.2578125
32,6780.983000000001,10104.126953125
33,11393.469,9493.123046875
34,12244.235,10853.7509765625
35,12555.568000000001,11447.9033203125
36,12126.599,11990.01171875
37,11406.947000000002,11726.8876953125
38,8243.861,11206.013671875
39,7282.717999999998,9698.7333984375
40,10861.376000000002,9118.08984375
41,12090.820000000002,10464.8349609375
42,12402.7,11016.4462890625
43,12352.969999999998,11481.611328125
44,12133.936999999998,11181.33203125
45,8435.718,10603.384765625
46,6640.652,9405.7783203125
47,5773.073,9091.4423828125
48,5446.925000000001,10148.4765625
49,5338.799999999999,10827.33984375
50,8639.724,11247.810546875
51,9050.896,11185.7587890625
52,5267.393999999999,10953.0205078125
53,3148.554,9586.2607421875
54,5248.1089999999995,8882.5537109375
55,5288.746,8043.25244140625
56,5080.786000000001,7441.2939453125
57,4829.128000000001,6965.1328125
58,3591.3070000000002,7873.13671875
59,3218.2090000000007,8071.673828125
60,2189.1479999999997,6706.6494140625
61,3549.7140000000004,5522.16064453125
62,3842.4,5862.10693359375
63,4595.076,5957.51611328125
64,4712.557,6005.755859375
65,4071.4840000000004,5677.62060546875
66,4180.666000000001,4896.8369140625
67,2638.201,4563.52392578125
68,5307.968999999999,4069.0107421875
69,2481.9030000000002,4342.849609375
70,3666.9909999999995,4409.6552734375
71,4635.1320000000005,4739.17578125
72,4501.396,4843.1796875
73,4610.417,4664.9990234375
74,2779.118,4736.62255859375
75,349.205,4196.68310546875
76,3507.8840000000005,5182.5810546875
77,3901.962,4224.453125
78,3964.6210000000005,4513.59375
79,4189.84,4808.521484375
80,4240.361999999999,4870.36767578125
81,2532.698,4973.3349609375
82,4866.025000000001,4297.7216796875
83,4631.501,3038.901123046875
84,4594.971000000001,3955.45458984375
85,4633.553000000001,4219.34130859375
86,4232.185,4366.345703125
87,4042.265000000001,4449.77294921875
88,2352.0070000000005,4463.16357421875
89,4682.55,3862.7470703125
90,4316.674999999999,4888.78125
91,4433.473,4945.5849609375
92,4521.348,5057.74072265625
93,4223.994999999999,5088.6689453125
94,4165.349999999999,4928.16748046875
95,2552.1099999999997,4840.6669921875
96,4715.870999999999,4208.8564453125
97,4615.887000000001,4905.82763671875
98,4953.695,4838.94677734375
99,5047.316999999999,4948.11572265625
100,4704.404,4958.71728515625
101,4283.775,4844.22900390625
102,2498.623,4831.19677734375
103,4700.999999999999,4255.36181640625
104,4749.741999999998,4925.09228515625
105,5196.376,4979.6708984375
106,4773.583000000001,5220.0380859375
107,3429.194000000001,5294.7080078125
108,3684.9449999999997,5199.46826171875
109,3127.111,5050.84130859375
110,5429.224,4386.05322265625
111,5222.858,5025.85791015625
112,5474.519,5120.60498046875
113,5053.641999999999,5397.484375
114,4704.589000000001,5249.92919921875
115,4665.815,4667.134765625
116,4023.8059999999996,4630.466796875
117,6625.913,4431.3173828125
118,6852.948,5285.859375
119,7055.617,5358.865234375
120,6218.625000000001,5551.13818359375
121,6419.088999999999,5410.98876953125
122,6555.094999999999,5332.79345703125
123,4027.5780000000004,5351.99462890625
124,6638.444,5165.32861328125
125,7590.902999999999,6139.5205078125
126,7476.95,6440.42236328125
127,7660.298999999998,6724.904296875
128,7508.126,6479.2294921875
129,7284.414000000001,6586.89892578125
130,4489.964999999999,6737.1689453125
131,7114.781000000001,5923.88623046875
132,7047.8640000000005,6678.34228515625
133,6740.580000000001,7105.7578125
134,6600.736999999998,7265.275390625
135,6240.858,7432.04638671875
136,8999.389000000001,7383.80322265625
137,7178.632999999999,7346.58154296875
138,10304.932,6445.63720703125
139,10843.836000000001,7193.6220703125
140,10292.454000000002,7187.15478515625
141,10914.264000000001,7170.0791015625
142,11233.636,7025.640625
143,10257.670000000002,6756.1259765625
144,8396.918,7850.2978515625
145,11538.379,7498.97119140625
146,11749.348000000004,8885.330078125
147,12825.366999999998,9331.83203125
148,11734.828,9442.41015625
149,12135.178999999995,9886.916015625
150,10733.125,10246.328125
151,8843.908000000001,10008.5107421875
152,11780.671999999997,9456.5625
153,12675.471000000001,10526.201171875
154,13306.151,10760.650390625
155,12771.078999999998,11586.3349609375
156,12196.017,11192.92578125
157,10676.057,11256.013671875
158,8761.296,10678.7421875
159,11291.579,10082.8505859375
160,11724.537000000002,11056.30859375
161,12079.805,11557.96484375
162,12347.962999999998,12103.3203125
163,11557.957,11946.5859375
164,9500.126,11528.13671875
165,8228.501999999999,10845.5400390625
166,10396.479999999998,10174.041015625
167,10916.484000000002,10958.875
168,11475.773000000001,11165.0849609375
169,12593.243999999999,11450.2578125
170,11801.03,11506.2177734375
171,9455.105000000003,11038.396484375
172,6983.898,10141.0439453125
173,8699.944999999998,9584.5068359375
174,8803.277999999998,10159.830078125
175,9160.836,10433.3232421875
176,8854.630000000001,10811.3388671875
177,8307.98,11255.0478515625
178,8350.605000000001,10911.2685546875
179,7126.212,10011.486328125
180,9086.416,8950.5380859375
181,6901.046999999998,9190.2294921875
182,8799.296999999999,9164.1767578125
183,9831.472,9330.25
184,9507.882,9024.3525390625
185,7601.299999999998,8559.9404296875
186,7090.837,8450.3095703125
187,9474.313,8037.9150390625
188,10119.382000000001,8702.984375
189,9677.917,7904.98046875
190,10158.196,8533.306640625
191,10308.855000000001,8956.57421875
192,9339.725999999999,9025.6201171875
193,7998.557000000001,8310.900390625
194,11048.294999999998,7960.5732421875
195,10681.485999999999,8709.2255859375
196,12621.903000000002,9304.041015625
197,12645.055,9375.3154296875
198,14000.120000000003,9517.541015625
199,10817.657999999998,9542.931640625
200,9562.116999999998,9337.4443359375
201,13863.674,8925.2412109375
