,gen2,prof2
0,357,70939.4090642221
1,438,77372.75630589997
2,403,68709.75866195915
3,481,83159.73645531184
4,384,71985.74373276498
5,324,68668.75466628463
6,427,80672.4789742047
7,406,72459.52450754287
8,460,83389.90550033266
9,466,83856.19229116348
10,511,90029.34585169565
11,295,55454.135700302824
12,546,98952.26749556807
13,203,48060.69595690348
14,160,42854.71955353282
15,533,82026.36393377642
16,588,91588.10414629545
17,463,94202.95306831485
18,538,94816.37461085476
19,234,54545.43939207855
20,342,64565.27388210451
21,411,71150.19708377653
22,415,68926.26069020608
23,289,67089.60173075544
24,514,72383.90518098921
25,456,72056.56379715128
26,384,64610.855338643916
27,267,48644.30189880801
28,302,63312.79179124712
29,370,64604.62243664284
30,393,66923.99406169279
31,509,83598.81966034113
32,20,253.0574001538123
33,318,62186.2871758281
34,388,65807.61536550809
35,264,52868.25468455312
36,299,60256.46038677463
37,335,61403.39560207305
38,434,79334.08714443358
39,20,215.82509827075123
40,487,86791.17662941373
41,501,89187.05166982063
42,230,48783.25432642813
43,327,63460.0854708505
44,20,363.0813042162067
45,684,99213.43788789607
46,24,792.6819557613896
47,263,55347.409023968
48,506,77166.42990681234
49,361,72122.24873722192
50,464,71386.01540609557
51,425,72499.78704631675
52,413,67272.05654114146
53,359,61690.37624492678
54,312,71135.77973273565
55,331,59123.74982593568
56,523,84092.28383973382
57,639,99806.77551289985
58,342,51598.24898076779
59,304,60561.24790257763
60,164,38617.34254385852
61,217,46454.612877743784
62,485,72695.13221743716
63,339,59325.31907226121
64,20,376.52282509888806
65,428,72394.909427556
66,20,418.9537829164028
67,367,75413.87743217975
68,421,85329.80121937048
69,276,52146.420155340005
70,297,54517.85552126203
71,20,312.91663064843266
72,265,54637.7294655673
73,457,74202.0063017175
74,20,276.95084954898454
75,388,58476.73358888563
76,239,52841.22181055443
77,277,59988.06760656268
78,295,57051.23143725042
79,397,75857.17684096459
80,272,52798.49672940944
81,292,50938.86690607999
82,246,53218.751099351604
83,470,87862.6277836492
84,246,54755.13956106881
85,666,102854.95486285811
86,20,419.2711748002514
87,388,68281.01777824054
88,655,97354.15634090852
89,316,57831.3577008001
90,153,32139.80467056706
91,377,64893.001264096936
92,355,66492.76844950725
93,201,41371.52319453975
94,365,78600.99202810295
95,534,78752.85301022316
96,224,49487.7682435876
97,580,91578.09677181818
98,479,78932.52137497975
99,268,53305.0313760934
100,797,110996.02735567403
101,197,49964.928188983395
102,304,60444.644431183384
103,779,109405.85613234119
104,224,46853.79441583467
105,172,37275.78327035645
106,412,76135.42084266474
107,195,39722.28629548274
108,659,97101.67242198244
109,20,470.7393910473404
110,168,34510.499782016355
111,189,44198.12321929545
112,254,45865.02024234042
113,137,39446.75941203261
114,286,58885.88672458947
115,292,56142.26382704014
116,318,64025.19011013145
117,20,437.98429548873844
118,418,75988.34405005713
119,184,46101.35648784411
120,331,65038.40728196461
121,388,65731.284243515
122,346,60465.11681153618
123,310,61149.99600551285
124,369,78507.43577772446
125,20,426.53069405989106
126,417,84581.78888570688
127,626,92415.20224891738
128,317,68274.74368865392
129,399,75467.97188120309
130,451,79228.58513217492
131,563,88970.14376415899
132,230,55600.11167561672
133,347,64239.70459621149
134,253,51848.38750283159
135,464,85148.59291929283
136,252,54624.42698634233
137,338,58159.144924799475
138,185,36831.382768496645
139,314,55396.88026290225
140,385,59979.829292480405
141,424,65611.65853218106
142,262,46717.29217496853
143,20,447.95150631038683
144,569,84635.7375118793
145,193,38604.585935621784
146,550,89019.45687934785
147,534,90173.04012284234
148,619,95725.45810053291
149,354,64005.63367136019
150,668,100681.42607138677
151,442,84801.94867694091
152,406,78218.1786655704
153,434,75022.69815538912
154,654,94544.60955615317
155,280,57334.16578396792
156,473,79152.42381133433
157,316,60061.154714038734
158,20,309.85308688144926
159,254,50291.40716904482
160,192,43366.67643321896
161,427,72502.14262705746
162,230,49228.09641298228
163,270,58516.55377737693
164,412,68622.65808484283
165,295,58461.92112812832
166,440,74442.08247664297
167,657,101325.55498898192
168,20,172.7079181639046
169,666,89722.0992786416
170,289,62628.50801616011
171,501,91073.94011359868
172,549,83984.49235316896
173,673,96831.31368702429
174,358,55826.70878841611
175,210,41869.95645326284
176,509,79745.91926458459
177,114,26706.095197999417
178,480,79562.28464540975
179,655,124159.17740933514
180,184,39870.71136858781
181,419,68309.25868665303
182,426,76781.0501011598
183,270,50953.0306285086
184,286,52270.65703656409
185,291,53083.28138091949
186,451,71072.1879993658
187,193,43592.16520920817
188,651,102181.04043581309
189,446,80237.81366465524
190,242,58958.32612608856
191,290,63997.93276026186
192,261,58777.50303985536
193,341,67289.50742286055
194,584,89195.8221870308
195,404,65856.20811656647
196,491,72611.92463102755
197,402,76214.84380795171
198,279,55549.33555157868
199,223,56314.8198993853
200,142,36716.23431798094
201,282,53101.43480921432
202,359,69398.0276635435
203,327,63527.84975190439
204,682,100922.1906803726
205,20,342.9485779089941
206,231,49035.24821049216
207,888,113389.1524147031
